table,variable,plot_type,ylog,xangle,yangle,exclude,clip
Household,HhSize,histogram,identity,0,0,0,
Household,Age0to14,histogram,identity,0,0,0,
Household,Age15to19,histogram,identity,0,0,0,
Household,Age20to29,histogram,identity,0,0,0,
Household,Age30to54,histogram,identity,0,0,0,
Household,Age55to64,histogram,identity,0,0,0,
Household,Age65Plus,histogram,identity,0,0,0,
Household,Wkr15to19,bar,identity,0,0,0,
Household,Wkr20to29,histogram,identity,0,0,0,
Household,Wkr30to54,histogram,identity,0,0,0,
Household,Wkr55to64,bar,identity,0,0,0,
Household,Wkr65Plus,bar,identity,0,0,0,
Household,Workers,histogram,identity,0,0,0,
Household,Income,histogram,identity,0,0,0,
Household,IsUrbanMixNbrhd,bar,identity,0,0,0,
Household,FreeParkingSpaces,histogram,identity,0,0,0,
Household,ParkingUnitCost,bar,identity,0,0,0,
Household,OtherParkingCost,histogram,identity,0,0,0,
Household,IsIMP,bar,identity,0,0,0,
Household,PropTdmDvmtReduction,bar,identity,0,0,0,
Household,Drv15to19,histogram,identity,0,0,0,
Household,Drv20to29,histogram,identity,0,0,0,
Household,Drv30to54,histogram,identity,0,0,0,
Household,Drv55to64,histogram,identity,0,0,0,
Household,Drv65Plus,histogram,identity,0,0,0,
Household,Drivers,histogram,identity,0,0,0,
Household,DrvAgePersons,histogram,identity,0,0,0,
Household,Vehicles,histogram,identity,0,0,0,
Household,NumLtTrk,histogram,identity,0,0,0,
Household,NumAuto,histogram,identity,0,0,0,
Household,HasPaydIns,histogram,identity,0,0,0,
Household,OwnCostSavings,bar,identity,0,0,0,
Household,OwnCost,histogram,identity,0,0,0,
Household,NumHighCarSvc,bar,identity,0,0,0,
Household,Dvmt,histogram,identity,0,0,0,
Household,WalkTrips,histogram,identity,0,0,0,
Household,BikeTrips,histogram,identity,0,0,0,
Household,TransitTrips,histogram,identity,0,0,0,
Household,VehicleTrips,histogram,identity,0,0,0,
Household,AveVehTripLen,histogram,identity,0,0,0,
Household,PropDvmtDiverted,histogram,identity,0,0,0,
Household,AveTrpLenDiverted,histogram,identity,0,0,0,
Household,SovDvmtProp,histogram,identity,0,0,0,
Household,UrbanDvmtProp,histogram,identity,0,0,0,
Household,IsEcoDrive,histogram,identity,0,0,0,
Household,AveVehCostPM,histogram,identity,0,0,0,
Household,AveSocEnvCostPM,histogram,identity,0,0,0,
Household,AveRoadUseTaxPM,histogram,identity,0,0,0,
Household,AveGPM,histogram,identity,0,0,0,
Household,AveKWHPM,histogram,identity,0,0,0,
Household,AveCO2ePM,histogram,identity,0,0,0,
Household,DailyGGE,histogram,identity,0,0,0,
Household,DailyKWH,bar,identity,0,0,0,
Household,DailyCO2e,histogram,identity,0,0,0,
Marea,DRRevMi,bar,identity,0,0,0,
Marea,VPRevMi,bar,identity,0,0,0,
Marea,MBRevMi,bar,identity,0,0,0,
Marea,RBRevMi,bar,identity,0,0,0,
Marea,MGRevMi,bar,identity,0,0,0,
Marea,SRRevMi,bar,identity,0,0,0,
Marea,HRRevMi,bar,identity,0,0,0,
Marea,CRRevMi,bar,identity,0,0,0,
Marea,FwyLaneMi,bar,identity,0,0,0,
Marea,ArtLaneMi,bar,identity,0,0,0,
Marea,TransitVanFuelCI,bar,identity,0,0,0,
Marea,TransitBusFuelCI,bar,identity,0,0,0,
Marea,TransitRailFuelCI,bar,identity,0,0,0,
Marea,TransitEthanolPropGasoline,bar,identity,0,0,0,
Marea,TransitBiodieselPropDiesel,bar,identity,0,0,0,
Marea,TransitRngPropCng,bar,identity,0,0,0,
Marea,VanPropDiesel,bar,identity,0,0,0,
Marea,VanPropGasoline,bar,identity,0,0,0,
Marea,VanPropCng,bar,identity,0,0,0,
Marea,BusPropDiesel,bar,identity,0,0,0,
Marea,BusPropGasoline,bar,identity,0,0,0,
Marea,BusPropCng,bar,identity,0,0,0,
Marea,RailPropDiesel,bar,identity,0,0,0,
Marea,RailPropGasoline,bar,identity,0,0,0,
Marea,VanPropIcev,bar,identity,0,0,0,
Marea,VanPropHev,bar,identity,0,0,0,
Marea,VanPropBev,bar,identity,0,0,0,
Marea,BusPropIcev,bar,identity,0,0,0,
Marea,BusPropHev,bar,identity,0,0,0,
Marea,BusPropBev,bar,identity,0,0,0,
Marea,RailPropIcev,bar,identity,0,0,0,
Marea,RailPropHev,bar,identity,0,0,0,
Marea,RailPropEv,bar,identity,0,0,0,
Marea,RampMeterDeployProp,bar,identity,0,0,0,
Marea,IncidentMgtDeployProp,bar,identity,0,0,0,
Marea,SignalCoordDeployProp,bar,identity,0,0,0,
Marea,AccessMgtDeployProp,bar,identity,0,0,0,
Marea,OtherFwyOpsDeployProp,bar,identity,0,0,0,
Marea,OtherArtOpsDeployProp,bar,identity,0,0,0,
Marea,FwyNoneCongChg,bar,identity,0,0,0,
Marea,FwyModCongChg,bar,identity,0,0,0,
Marea,FwyHvyCongChg,bar,identity,0,0,0,
Marea,FwySevCongChg,bar,identity,0,0,0,
Marea,FwyExtCongChg,bar,identity,0,0,0,
Marea,ArtNoneCongChg,bar,identity,0,0,0,
Marea,ArtModCongChg,bar,identity,0,0,0,
Marea,ArtHvyCongChg,bar,identity,0,0,0,
Marea,ArtSevCongChg,bar,identity,0,0,0,
Marea,ArtExtCongChg,bar,identity,0,0,0,
Marea,FwySmooth,bar,identity,0,0,0,
Marea,ArtSmooth,bar,identity,0,0,0,
Marea,LdvEcoDrive,bar,identity,0,0,0,
Marea,HvyTrkEcoDrive,bar,identity,0,0,0,
Marea,UrbanPop,bar,identity,0,0,0,
Marea,TownPop,bar,identity,0,0,0,
Marea,RuralPop,bar,identity,0,0,0,
Marea,UrbanIncome,bar,identity,0,0,0,
Marea,TownIncome,bar,identity,0,0,0,
Marea,RuralIncome,bar,identity,0,0,0,
Marea,TranRevMiPC,bar,identity,0,0,0,
Marea,VanDvmt,bar,identity,0,0,0,
Marea,BusDvmt,bar,identity,0,0,0,
Marea,RailDvmt,bar,identity,0,0,0,
Marea,FwyLaneMiPC,bar,identity,0,0,0,
Marea,UrbanHhDvmt,bar,identity,0,0,0,
Marea,TownHhDvmt,bar,identity,0,0,0,
Marea,RuralHhDvmt,bar,identity,0,0,0,
Marea,ComSvcUrbanDvmt,bar,identity,0,0,0,
Marea,ComSvcTownDvmt,bar,identity,0,0,0,
Marea,ComSvcRuralDvmt,bar,identity,0,0,0,
Marea,HvyTrkUrbanDvmt,bar,identity,0,0,0,
Marea,LdvFwyArtDvmt,bar,identity,0,0,0,
Marea,LdvOthDvmt,bar,identity,0,0,0,
Marea,HvyTrkFwyDvmt,bar,identity,0,0,0,
Marea,HvyTrkArtDvmt,bar,identity,0,0,0,
Marea,HvyTrkOthDvmt,bar,identity,0,0,0,
Marea,BusFwyDvmt,bar,identity,0,0,0,
Marea,BusArtDvmt,bar,identity,0,0,0,
Marea,BusOthDvmt,bar,identity,0,0,0,
Marea,UrbanHhPropUrbanDvmt,bar,identity,0,0,0,
Marea,NonUrbanHhPropUrbanDvmt,bar,identity,0,0,0,
Marea,LdvFwyDvmt,bar,identity,0,0,0,
Marea,LdvArtDvmt,bar,identity,0,0,0,
Marea,LdvAveSpeed,bar,identity,0,0,0,
Marea,HvyTrkAveSpeed,bar,identity,0,0,0,
Marea,BusAveSpeed,bar,identity,0,0,0,
Marea,NonUrbanAveSpeed,bar,identity,0,0,0,
Marea,LdvTotDelay,bar,identity,0,0,0,
Marea,HvyTrkTotDelay,bar,identity,0,0,0,
Marea,BusTotDelay,bar,identity,0,0,0,
Marea,AveCongPrice,bar,identity,0,0,0,
Marea,FwyDvmtPropNoneCong,bar,identity,0,0,0,
Marea,FwyDvmtPropModCong,bar,identity,0,0,0,
Marea,FwyDvmtPropHvyCong,bar,identity,0,0,0,
Marea,FwyDvmtPropSevCong,bar,identity,0,0,0,
Marea,FwyDvmtPropExtCong,bar,identity,0,0,0,
Marea,ArtDvmtPropNoneCong,bar,identity,0,0,0,
Marea,ArtDvmtPropModCong,bar,identity,0,0,0,
Marea,ArtDvmtPropHvyCong,bar,identity,0,0,0,
Marea,ArtDvmtPropSevCong,bar,identity,0,0,0,
Marea,ArtDvmtPropExtCong,bar,identity,0,0,0,
Marea,FwyNoneCongSpeed,bar,identity,0,0,0,
Marea,FwyModCongSpeed,bar,identity,0,0,0,
Marea,FwyHvyCongSpeed,bar,identity,0,0,0,
Marea,FwySevCongSpeed,bar,identity,0,0,0,
Marea,FwyExtCongSpeed,bar,identity,0,0,0,
Marea,ArtNoneCongSpeed,bar,identity,0,0,0,
Marea,ArtModCongSpeed,bar,identity,0,0,0,
Marea,ArtHvyCongSpeed,bar,identity,0,0,0,
Marea,ArtSevCongSpeed,bar,identity,0,0,0,
Marea,ArtExtCongSpeed,bar,identity,0,0,0,
Marea,OthSpd,bar,identity,0,0,0,
Marea,LdvSpdSmoothFactor,bar,identity,0,0,0,
Marea,HvyTrkSpdSmoothFactor,bar,identity,0,0,0,
Marea,BusSpdSmoothFactor,bar,identity,0,0,0,
Marea,LdvEcoDriveFactor,bar,identity,0,0,0,
Marea,HvyTrkEcoDriveFactor,bar,identity,0,0,0,
Marea,BusEcoDriveFactor,bar,identity,0,0,0,
Marea,LdIceFactor,bar,identity,0,0,0,
Marea,LdHevFactor,bar,identity,0,0,0,
Marea,LdEvFactor,bar,identity,0,0,0,
Marea,LdFcvFactor,bar,identity,0,0,0,
Marea,HdIceFactor,bar,identity,0,0,0,
Marea,ComSvcUrbanGGE,bar,identity,0,0,0,
Marea,ComSvcNonUrbanGGE,bar,identity,0,0,0,
Marea,HvyTrkUrbanGGE,bar,identity,0,0,0,
Marea,ComSvcUrbanKWH,bar,identity,0,0,0,
Marea,ComSvcNonUrbanKWH,bar,identity,0,0,0,
Marea,HvyTrkUrbanKWH,bar,identity,0,0,0,
Marea,ComSvcUrbanCO2e,bar,identity,0,0,0,
Marea,ComSvcNonUrbanCO2e,bar,identity,0,0,0,
Marea,HvyTrkUrbanCO2e,bar,identity,0,0,0,
Marea,ComSvcAveUrbanAutoCO2eRate,bar,identity,0,0,0,
Marea,ComSvcAveUrbanLtTrkCO2eRate,bar,identity,0,0,0,
Marea,HvyTrkAveUrbanCO2eRate,bar,identity,0,0,0,
Marea,BusGGE,bar,identity,0,0,0,
Marea,RailGGE,bar,identity,0,0,0,
Marea,VanGGE,bar,identity,0,0,0,
Marea,BusKWH,bar,identity,0,0,0,
Marea,RailKWH,bar,identity,0,0,0,
Marea,VanKWH,bar,identity,0,0,0,
Marea,BusCO2e,bar,identity,0,0,0,
Marea,RailCO2e,bar,identity,0,0,0,
Marea,VanCO2e,bar,identity,0,0,0,
Marea,BusCO2eRate,bar,identity,0,0,0,
Marea,RailCO2eRate,bar,identity,0,0,0,
Marea,VanCO2eRate,bar,identity,0,0,0,
